booking_id,hotel_name,city,check_in_date,nights,guests,room_type,price_per_night,booking_status,guest_rating,breakfast_included
1780,Oceanfront,New York,24-03-2024,3,3,Deluxe,211,Completed,4.6,FALSE
1535,Grand Plaza,Paris,03-06-2025,8,3,Suite,374,Completed,3.6,TRUE
1514,Budget Stay,New York,18-04-2024,6,3,Standard,163,Completed,4.2,FALSE
1706,Budget Stay,Sydney,01-08-2024,9,4,Suite,406,Completed,,TRUE
1918,Budget Stay,London,18-05-2025,1,4,Standard,120,Completed,4.2,FALSE
1833,Oceanfront,Sydney,16-03-2024,3,2,Suite,387,Confirmed,3.8,FALSE
1513,City Inn,Berlin,28-07-2024,9,3,Deluxe,222,Completed,4.1,FALSE
1712,Oceanfront,Sydney,20-11-2024,7,2,Standard,171,Confirmed,2.7,TRUE
1675,Mountain Peak,New York,12-02-2025,2,3,Suite,422,Completed,3.5,TRUE
1607,Mountain Peak,New York,25-08-2024,9,2,Deluxe,269,Cancelled,3.4,FALSE
1242,Lakeview Resort,London,09-01-2025,9,2,Standard,171,Confirmed,4.6,FALSE
1260,Oceanfront,Paris,21-06-2025,9,3,Deluxe,259,Completed,4.4,TRUE
1909,Grand Plaza,Berlin,22-03-2024,6,1,Standard,186,Confirmed,3.4,TRUE
1001,City Inn,New York,02-01-2024,1,1,Suite,414,Completed,3.4,FALSE
1731,Oceanfront,Berlin,25-06-2024,3,4,Standard,137,Confirmed,,TRUE
1391,Oceanfront,Tokyo,26-01-2024,4,2,Suite,384,Cancelled,4.7,TRUE
1764,Lakeview Resort,Tokyo,03-08-2024,5,1,Standard,156,Completed,,FALSE
1747,City Inn,New York,23-06-2025,7,2,Standard,102,Confirmed,3.4,FALSE
1748,Budget Stay,Sydney,03-04-2024,4,4,Deluxe,245,Confirmed,3.4,TRUE
1165,Budget Stay,Sydney,23-02-2025,5,1,Standard,167,Confirmed,,FALSE
1723,Lakeview Resort,Paris,19-02-2024,10,3,Standard,183,Cancelled,4.7,FALSE
1578,Oceanfront,Berlin,27-02-2025,1,4,Standard,104,Confirmed,4.7,FALSE
1609,Oceanfront,Berlin,07-12-2024,9,2,Standard,102,Completed,3.7,TRUE
1167,City Inn,Sydney,03-04-2025,1,1,Standard,159,Confirmed,4.9,FALSE
1345,Lakeview Resort,Tokyo,20-11-2024,6,2,Standard,101,Confirmed,4.2,FALSE
1141,Lakeview Resort,Paris,17-02-2025,9,1,Standard,118,Completed,,FALSE
1733,Lakeview Resort,Tokyo,07-12-2024,4,1,Standard,109,Completed,2.5,FALSE
1686,Budget Stay,Berlin,02-10-2024,7,4,Standard,143,Confirmed,4.7,TRUE
1784,Mountain Peak,New York,06-07-2024,9,3,Suite,392,Confirmed,4.6,FALSE
1629,Grand Plaza,Paris,08-01-2025,10,2,Deluxe,281,Confirmed,,FALSE
1912,Grand Plaza,London,01-03-2025,9,4,Suite,416,Completed,3.6,TRUE
1219,Mountain Peak,New York,09-04-2025,5,1,Deluxe,274,Completed,2.9,TRUE
1375,Mountain Peak,London,27-11-2024,8,1,Suite,385,Completed,,FALSE
1870,Lakeview Resort,Tokyo,31-07-2024,2,4,Deluxe,247,Confirmed,,FALSE
1204,Lakeview Resort,Tokyo,20-01-2024,7,4,Suite,444,Completed,3.2,FALSE
1617,Mountain Peak,Berlin,13-01-2024,6,2,Suite,374,Completed,,FALSE
1486,Budget Stay,London,01-08-2024,1,1,Suite,417,Cancelled,4.2,TRUE
1168,Mountain Peak,New York,20-01-2024,8,3,Suite,414,Confirmed,3.8,TRUE
1808,Grand Plaza,Sydney,25-01-2024,9,2,Suite,427,Completed,4.5,FALSE
1539,Lakeview Resort,London,04-04-2025,1,1,Suite,373,Cancelled,4.7,FALSE
1630,Grand Plaza,Sydney,02-09-2024,3,4,Standard,120,Confirmed,3.6,TRUE
