ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Total_Spent,Tenure_Days,Tenure_Months,Total_Purchases,Avg_Purchase_Value,High_Gold_Spender,Is_US
1826,1970,Graduation,Divorced,"$84,835.00 ",0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,55,1190,4154,136.5,15,79.33333333333333,1,False
1,1961,Graduation,Single,"$57,091.00 ",0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,64,577,4155,136.5,18,32.05555555555556,0,False
10476,1958,Graduation,Married,"$67,267.00 ",0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67,251,4188,137.6,11,22.818181818181817,0,True
1386,1967,Graduation,Together,"$32,474.00 ",1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,58,11,4190,137.6,4,2.75,0,False
5371,1989,Graduation,Single,"$21,474.00 ",1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,36,91,4223,138.7,8,11.375,0,False
7348,1958,PhD,Single,"$71,691.00 ",0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,67,1192,4245,139.5,17,70.11764705882354,0,False
4073,1954,2n Cycle,Married,"$63,564.00 ",0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,71,1215,4292,141.0,28,43.392857142857146,1,False
1991,1967,Graduation,Together,"$44,931.00 ",0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,58,96,4303,141.4,7,13.714285714285714,0,False
4047,1954,PhD,Married,"$65,324.00 ",0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,71,544,4310,141.6,20,27.2,0,True
9477,1954,PhD,Married,"$65,324.00 ",0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,71,544,4310,141.6,20,27.2,0,False
2079,1947,2n Cycle,Married,"$81,044.00 ",0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,78,1208,4325,142.1,22,54.90909090909091,0,True
5642,1979,Master,Together,"$62,499.00 ",1,0,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,46,222,4343,142.7,12,18.5,0,False
10530,1959,PhD,Widow,"$67,786.00 ",0,0,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,66,1156,4345,142.7,16,72.25,1,False
2964,1981,Graduation,Married,"$26,872.00 ",0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,44,72,4397,144.4,5,14.4,0,False
10311,1969,Graduation,Married,"$4,428.00 ",0,1,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,56,359,4408,144.8,25,14.36,1,False
837,1977,Graduation,Married,"$54,809.00 ",1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,48,174,4432,145.6,12,14.5,0,False
10521,1977,Graduation,Married,"$54,809.00 ",1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,48,174,4432,145.6,12,14.5,0,False
10175,1958,PhD,Divorced,"$32,173.00 ",0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,67,22,4473,146.9,5,4.4,0,False
1473,1960,2n Cycle,Single,"$47,823.00 ",0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,65,72,4482,147.2,7,10.285714285714286,0,False
2795,1958,Master,Single,"$30,523.00 ",2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,67,13,4504,148.0,4,3.25,0,False
2285,1954,Master,Together,"$36,634.00 ",0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,71,335,4538,149.1,15,22.333333333333332,0,False
115,1966,Master,Single,"$43,456.00 ",0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,59,393,4601,151.1,17,23.11764705882353,0,False
10470,1979,Master,Married,"$40,662.00 ",1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,46,92,4612,151.5,8,11.5,0,False
4065,1976,PhD,Married,"$49,544.00 ",1,0,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,49,404,4643,152.5,16,25.25,0,False
10968,1969,Graduation,Single,"$57,731.00 ",0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,56,704,4724,155.2,26,27.076923076923077,0,False
5985,1965,Master,Single,"$33,168.00 ",0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,60,122,4765,156.5,10,12.2,0,False
5430,1956,Graduation,Together,"$54,450.00 ",1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,69,684,4794,157.5,31,22.06451612903226,0,False
8432,1956,Graduation,Together,"$54,450.00 ",1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,69,684,4794,157.5,31,22.06451612903226,0,False
453,1956,PhD,Widow,"$35,340.00 ",1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,69,45,4141,136.0,7,6.428571428571429,0,False
9687,1975,Graduation,Single,"$73,170.00 ",0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,50,726,4170,137.0,16,45.375,0,False
8890,1971,PhD,Divorced,"$65,808.00 ",1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,54,272,4171,137.0,14,19.428571428571427,0,False
9264,1986,Graduation,Married,"$79,529.00 ",0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,39,1638,4204,138.1,22,74.45454545454545,1,False
5824,1972,PhD,Together,"$34,578.00 ",2,1,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,53,8,4220,138.6,4,2.0,0,False
5794,1974,PhD,Married,"$46,374.00 ",0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,51,446,4245,139.5,18,24.77777777777778,0,False
3068,1990,Graduation,Married,"$18,351.00 ",0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,35,43,4384,144.0,6,7.166666666666667,0,False
7962,1987,PhD,Single,"$95,169.00 ",0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,38,1901,4404,144.7,12,158.41666666666666,0,False
2681,1984,2n Cycle,Married,"$65,370.00 ",0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,41,461,4473,146.9,19,24.263157894736842,0,False
10141,1960,Master,Divorced,"$39,228.00 ",0,0,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,65,20,4556,149.7,4,5.0,0,False
3725,1961,PhD,Single,"$84,865.00 ",0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,64,1688,4557,149.7,16,105.5,0,False
3767,1968,Graduation,Married,"$61,314.00 ",0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,57,1008,4571,150.2,24,42.0,1,False
